Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
Did Timm Gunn guest in Sunrise (HIMYM)?,"['http://dbpedia.org/resource/Sunrise_(How_I_Met_Your_Mother)', 'http://dbpedia.org/resource/Tim_Gunn']",['http://dbpedia.org/property/guests'],"['http://aksw.org/notInWiki/TimmGunn', 'http://dbpedia.org/resource/Sunrise']",0.0,0.0,[],0,0.0
Name the tenants of O.co Coliseum ?,['http://dbpedia.org/resource/O.co_Coliseum'],['http://dbpedia.org/ontology/tenant'],['http://aksw.org/notInWiki/OcoColiseum'],0.0,0.0,[],0,0.0
which politician is currently ruling over Rishkiesh?,['http://dbpedia.org/resource/Rishikesh'],['http://dbpedia.org/ontology/leaderName'],['http://aksw.org/notInWiki/Rishkiesh'],0.0,0.0,['http://dbpedia.org/ontology/management'],0.0,0.0
Is north america one of the destinations of airtours airways?,"['http://dbpedia.org/resource/Airtours_International_Airways', 'http://dbpedia.org/resource/North_America']",['http://dbpedia.org/ontology/destination'],[],0,0.0,[],0,0.0
Who have done their PhDs under a National Medal of Science winner?,['http://dbpedia.org/resource/National_Medal_of_Science'],"['http://dbpedia.org/property/prizes', 'http://dbpedia.org/property/doctoralAdvisor']",[],0,0.0,[],0,0.0
Who is the common manager of Aston Villa 2000-02 season and aldo the manager of Middlesbrough F.C. season 2009-10,"['http://dbpedia.org/resource/2000–01_Aston_Villa_F.C._season', 'http://dbpedia.org/resource/2009–10_Middlesbrough_F.C._season']","['http://dbpedia.org/ontology/manager', 'http://dbpedia.org/property/name']","['http://dbpedia.org/resource/Middlesbrough_F.C.', 'http://aksw.org/notInWiki/2000-02season', 'http://dbpedia.org/resource/Aston_Villa_F.C.', 'http://aksw.org/notInWiki/2009-10']",0.0,0.0,['http://dbpedia.org/ontology/alias'],0.0,0.0
Name the mascot of the military branch of William Harper.,['http://dbpedia.org/resource/William_Harper_(Rhodesian_politician)'],"['http://dbpedia.org/ontology/militaryBranch', 'http://dbpedia.org/property/mascot']",['http://aksw.org/notInWiki/WilliamHarper'],0.0,0.0,[],0,0.0
"How many tenats have been there, of the constructions of PCL constructures?",['http://dbpedia.org/resource/PCL_Construction'],"['http://dbpedia.org/ontology/builder', 'http://dbpedia.org/ontology/tenant']",['http://aksw.org/notInWiki/PCL'],0.0,0.0,[],0,0.0
Was Kevin Jonas a part of Jonas brothers?,"['http://dbpedia.org/resource/Jonas_Brothers', 'http://dbpedia.org/resource/Kevin_Jonas']",['http://dbpedia.org/ontology/formerBandMember'],"['http://aksw.org/notInWiki/Jona', 'http://aksw.org/notInWiki/y>Kev']",0.0,0.0,[],0,0.0
"What was the book that lead to Sagan's Cosmos, about?",['http://dbpedia.org/resource/Cosmos_(Carl_Sagan_book)'],"['http://dbpedia.org/ontology/subsequentWork', 'http://dbpedia.org/property/subject']","['http://dbpedia.org/resource/Cosmos', 'http://aksw.org/notInWiki/Sagan']",0.0,0.0,['http://dbpedia.org/ontology/head'],0.0,0.0
"Which kind of conventions are held in Rosemont, Illinois?","['http://dbpedia.org/resource/Rosemont,_Illinois']","['http://dbpedia.org/ontology/location', 'http://dbpedia.org/property/genre']","['http://aksw.org/notInWiki/Illinois', 'http://aksw.org/notInWiki/Rosemont']",0.0,0.0,['http://dbpedia.org/ontology/commander'],0.0,0.0
What are the type of Greenup County High School?,['http://dbpedia.org/resource/Greenup_County_High_School'],['http://dbpedia.org/property/type'],"['http://dbpedia.org/resource/Greenup_County,_Kentucky']",0.0,0.0,[],0,0.0
List the teams for which Bobby Hoppe played ?,['http://dbpedia.org/resource/Bobby_Hoppe'],['http://dbpedia.org/property/pastteams'],['http://dbpedia.org/resource/Bobby_Hoppe'],1.0,1.0,['http://dbpedia.org/ontology/portrayer'],0.0,0.0
What are some famous works of the writer of The Second Coming?,['http://dbpedia.org/resource/The_Second_Coming_(TV_serial)'],"['http://dbpedia.org/property/writer', 'http://dbpedia.org/property/notableworks']",['http://dbpedia.org/resource/Second_Coming'],0.0,0.0,['http://dbpedia.org/ontology/debut'],0.0,0.0
How many books have been penned by Miguel de Cervantes?,['http://dbpedia.org/resource/Miguel_de_Cervantes'],['http://dbpedia.org/ontology/author'],['http://dbpedia.org/resource/Miguel_de_Cervantes'],1.0,1.0,['http://dbpedia.org/ontology/flag'],0.0,0.0
Which labels signs up progressive rock bands?,['http://dbpedia.org/resource/Progressive_rock'],"['http://dbpedia.org/ontology/recordLabel', 'http://dbpedia.org/property/genre']",[],0,0.0,['http://dbpedia.org/ontology/address'],0.0,0.0
"What are the schools whose city is Reading, Berkshire?","['http://dbpedia.org/resource/Reading,_Berkshire']",['http://dbpedia.org/ontology/city'],"['http://dbpedia.org/resource/Berkshire', 'http://aksw.org/notInWiki/Reading']",0.0,0.0,[],0,0.0
Which magazine's editor is married to Crystal Harris?,['http://dbpedia.org/resource/Crystal_Harris'],"['http://dbpedia.org/property/spouse', 'http://dbpedia.org/property/editor']",['http://dbpedia.org/resource/Crystal_Hefner'],0.0,0.0,['http://dbpedia.org/ontology/spouse'],1.0,0.5
Does the west thurrock come under Essex county?,"['http://dbpedia.org/resource/West_Thurrock', 'http://dbpedia.org/resource/Essex']",['http://dbpedia.org/ontology/ceremonialCounty'],['http://aksw.org/notInWiki/Essexcounty'],0.0,0.0,[],0,0.0
How many people have headed organizations headquartered at Niederkirchnerstrae?,['http://dbpedia.org/resource/Niederkirchnerstraße'],"['http://dbpedia.org/ontology/headquarter', 'http://dbpedia.org/ontology/leader']",['http://aksw.org/notInWiki/Niederkirchnerstrae'],0.0,0.0,['http://dbpedia.org/ontology/speaker'],0.0,0.0
In which television shows have Steven Moffat served as an executive producer?,['http://dbpedia.org/resource/Steven_Moffat'],['http://dbpedia.org/ontology/executiveProducer'],['http://dbpedia.org/resource/Steven_Moffat'],1.0,1.0,['http://dbpedia.org/ontology/regionServed'],0.0,0.0
Which shareholder of Dagenham wind turbines is also the parent company of the Ford Falcon Cobra?,"['http://dbpedia.org/resource/Ford_Falcon_Cobra', 'http://dbpedia.org/resource/Dagenham_wind_turbines']","['http://dbpedia.org/ontology/parentCompany', 'http://dbpedia.org/property/owner']","['http://dbpedia.org/resource/Ford_Falcon_Cobra', 'http://dbpedia.org/resource/Dagenham', 'http://dbpedia.org/resource/Ford_Motor_Company']",0.3333333333333333,0.5,[],0,0.0
What are the airlines whose hub is San Francisco International Airport?,['http://dbpedia.org/resource/San_Francisco_International_Airport'],['http://dbpedia.org/property/hubs'],['http://dbpedia.org/resource/San_Francisco_International_Airport'],1.0,1.0,[],0,0.0
Where can I find things run by the maritime museum of San Diego?,['http://dbpedia.org/resource/Maritime_Museum_of_San_Diego'],"['http://dbpedia.org/property/governingBody', 'http://dbpedia.org/property/location']",['http://dbpedia.org/resource/San_Diego'],0.0,0.0,['http://dbpedia.org/ontology/course'],0.0,0.0
"What is the local authority of the Trinity School, Brentwood and place of birth of the Sarah Walker (badminton) ?","['http://dbpedia.org/resource/Trinity_School,_Brentwood', 'http://dbpedia.org/resource/Sarah_Walker_(badminton)']","['http://dbpedia.org/ontology/localAuthority', 'http://dbpedia.org/property/placeOfBirth']","['http://aksw.org/notInWiki/theTrinitySchool', 'http://aksw.org/notInWiki/theSarahWalker', 'http://aksw.org/notInWiki/Brentwood']",0.0,0.0,[],0,0.0
How many services does 21Vianet provide?,['http://dbpedia.org/resource/21Vianet'],['http://dbpedia.org/property/services'],"['http://aksw.org/notInWiki/Vianet', 'http://aksw.org/notInWiki/21']",0.0,0.0,['http://dbpedia.org/ontology/arm'],0.0,0.0
Which planet was discovered by Johann Gottfired and Urbain Le Verrier ?,"['http://dbpedia.org/resource/Johann_Gottfried_Galle', 'http://dbpedia.org/resource/Urbain_Le_Verrier']","['http://dbpedia.org/ontology/discoverer', 'http://dbpedia.org/property/discoverer']","['http://dbpedia.org/resource/Urbain_Le_Verrier', 'http://aksw.org/notInWiki/JohannGottfired']",0.5,0.5,['http://dbpedia.org/ontology/discovered'],1.0,0.5
where did the office holder died  who is successor to Elmer Burkett ?,['http://dbpedia.org/resource/Elmer_Burkett'],"['http://dbpedia.org/property/successor', 'http://dbpedia.org/property/deathPlace']",['http://dbpedia.org/resource/Elmer_Burkett'],1.0,1.0,['http://dbpedia.org/ontology/house'],0.0,0.0
"Name the team for which Hensley Meulens played, whihc was also the debut team od Steve Ontiveros ?","['http://dbpedia.org/resource/Steve_Ontiveros_(infielder)', 'http://dbpedia.org/resource/Hensley_Meulens']","['http://dbpedia.org/ontology/team', 'http://dbpedia.org/property/debutteam']","['http://aksw.org/notInWiki/SteveOntiveros', 'http://dbpedia.org/resource/Hensley_Meulens']",0.5,0.5,[],0,0.0
List the actors of  Lucy Sullivan Is Getting Married?,['http://dbpedia.org/resource/Lucy_Sullivan_Is_Getting_Married'],['http://dbpedia.org/property/starring'],['http://aksw.org/notInWiki/LucySullivan'],0.0,0.0,['http://dbpedia.org/ontology/isPeerReviewed'],0.0,0.0
Name the island with archipelago as Society Islands and has the largest city named Faaa ?,"['http://dbpedia.org/resource/Faaa', 'http://dbpedia.org/resource/Society_Islands']","['http://dbpedia.org/ontology/largestCity', 'http://dbpedia.org/property/archipelago']","['http://dbpedia.org/resource/Society_Islands', 'http://dbpedia.org/resource/Faaa']",1.0,1.0,[],0,0.0
Who started at the pole position in both 1997 canadian grand prix and the 94 spanish one?,"['http://dbpedia.org/resource/1997_Canadian_Grand_Prix', 'http://dbpedia.org/resource/1994_Spanish_Grand_Prix']","['http://dbpedia.org/property/poleDriver', 'http://dbpedia.org/property/poleDriver']","['http://aksw.org/notInWiki/1997', 'http://aksw.org/notInWiki/94']",0.0,0.0,['http://dbpedia.org/ontology/quote'],0.0,0.0
Who appointed the governor under whom Richard Winn served?,['http://dbpedia.org/resource/Richard_Winn'],"['http://dbpedia.org/ontology/governor', 'http://dbpedia.org/property/appointer']",['http://dbpedia.org/resource/Richard_Winn'],1.0,1.0,"['http://dbpedia.org/ontology/appointer', 'http://dbpedia.org/ontology/regionServed']",0.5,0.5
What company involved in the development of Sherlock did Arthur Levinson work for?,"['http://dbpedia.org/resource/Arthur_D._Levinson', 'http://dbpedia.org/resource/Sherlock_(software)']","['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/developer']","['http://dbpedia.org/resource/Arthur_D._Levinson', 'http://aksw.org/notInWiki/Sherlock']",0.5,0.5,"['http://dbpedia.org/ontology/address', 'http://dbpedia.org/ontology/title']",0.0,0.0
Which tenants of the Master Card center is also th draft team of Sam Carrrick ,"['http://dbpedia.org/resource/MasterCard_Centre', 'http://dbpedia.org/resource/Sam_Carrick']","['http://dbpedia.org/property/tenants', 'http://dbpedia.org/property/draftTeam']","['http://aksw.org/notInWiki/SamCarrrick', 'http://dbpedia.org/resource/MasterCard']",0.0,0.0,[],0,0.0
Who produced the TV shows for Fremantle Media?,['http://dbpedia.org/resource/FremantleMedia'],"['http://dbpedia.org/ontology/producer', 'http://dbpedia.org/property/company']",['http://dbpedia.org/resource/FremantleMedia'],1.0,1.0,['http://dbpedia.org/ontology/producer'],1.0,0.5
What is the style of architecture of South Loop Printing House District ?,['http://dbpedia.org/resource/South_Loop_Printing_House_District'],['http://dbpedia.org/ontology/architecturalStyle'],"['http://aksw.org/notInWiki/HouseDistrict', 'http://aksw.org/notInWiki/SouthLoop']",0.0,0.0,[],0,0.0
Whose provides the service of  Outlook and also products  such as Visual Studio?,"['http://dbpedia.org/resource/Outlook.com', 'http://dbpedia.org/resource/Microsoft_Visual_Studio']","['http://dbpedia.org/property/services', 'http://dbpedia.org/property/products']",['http://dbpedia.org/resource/Microsoft_Visual_Studio'],1.0,0.5,[],0,0.0
Is Ombla originate in Croatia?,"['http://dbpedia.org/resource/Ombla', 'http://dbpedia.org/resource/Croatia']",['http://dbpedia.org/ontology/sourceMountain'],['http://dbpedia.org/resource/Croatia'],1.0,0.5,[],0,0.0
What is the nationality of Newin Chidchob ?,['http://dbpedia.org/resource/Newin_Chidchob'],['http://dbpedia.org/property/nationality'],['http://dbpedia.org/resource/Newin_Chidchob'],1.0,1.0,[],0,0.0
In which team did Dave Bing and Ron Reed started their basketball career?,"['http://dbpedia.org/resource/Dave_Bing', 'http://dbpedia.org/resource/Ron_Reed']","['http://dbpedia.org/property/draftTeam', 'http://dbpedia.org/property/draftTeam']","['http://dbpedia.org/resource/Dave_Bing', 'http://dbpedia.org/resource/Ron_Reed']",1.0,1.0,['http://dbpedia.org/ontology/quote'],0.0,0.0
Was Ganymede discovered by Galileo Galilei?,"['http://dbpedia.org/resource/Ganymede_(moon)', 'http://dbpedia.org/resource/Galileo_Galilei']",['http://dbpedia.org/property/discoverer'],"['http://dbpedia.org/resource/Galileo_Galilei', 'http://aksw.org/notInWiki/Ganymede']",0.5,0.5,['http://dbpedia.org/ontology/discovered'],1.0,1.0
List some musicians associated with famous guitar players?,['http://dbpedia.org/resource/Guitar'],"['http://dbpedia.org/ontology/associatedMusicalArtist', 'http://dbpedia.org/property/notableInstruments']",[],0,0.0,['http://dbpedia.org/ontology/related'],0.0,0.0
What are the awards won by the producer of Elizabeth: The Golden Age?,['http://dbpedia.org/resource/Elizabeth:_The_Golden_Age_(soundtrack)'],"['http://dbpedia.org/property/producer', 'http://dbpedia.org/property/awards']",['http://aksw.org/notInWiki/Elizabeth'],0.0,0.0,['http://dbpedia.org/ontology/award'],0.0,0.0
With what company is the service OneDrive associated?,['http://dbpedia.org/resource/OneDrive'],['http://dbpedia.org/property/services'],['http://dbpedia.org/resource/OneDrive'],1.0,1.0,['http://dbpedia.org/ontology/related'],0.0,0.0
"Name the university whose affiliations's foundation place is Washington, D.C.?","['http://dbpedia.org/resource/Washington,_D.C.']","['http://dbpedia.org/ontology/foundationPlace', 'http://dbpedia.org/property/affiliations']","['http://dbpedia.org/resource/Washington,_D.C.']",1.0,1.0,[],0,0.0
Name presidents of the schools which have queen noor of Jordan as one of them ?,['http://dbpedia.org/resource/Queen_Noor_of_Jordan'],"['http://dbpedia.org/ontology/president', 'http://dbpedia.org/property/president']","['http://dbpedia.org/resource/Jordan', 'http://aksw.org/notInWiki/one']",0.0,0.0,['http://dbpedia.org/ontology/leader'],0.0,0.0
Who appointed the governor under which Robert Witherspoon worked?,['http://dbpedia.org/resource/Robert_Witherspoon'],"['http://dbpedia.org/ontology/governor', 'http://dbpedia.org/property/appointer']",['http://dbpedia.org/resource/Robert_Witherspoon'],1.0,1.0,"['http://dbpedia.org/ontology/appointer', 'http://dbpedia.org/ontology/operator']",0.5,0.5
Who is the producer of the song which is the previous work of He's a Liar ?,"[""http://dbpedia.org/resource/He's_a_Liar""]","['http://dbpedia.org/ontology/previousWork', 'http://dbpedia.org/ontology/producer']","[""http://dbpedia.org/resource/He's_a_Liar""]",1.0,1.0,[],0,0.0
"List the base currency of the country whose anthem is Oj, svijetla majska zoro.","['http://dbpedia.org/resource/Oj,_svijetla_majska_zoro']","['http://dbpedia.org/ontology/anthem', 'http://dbpedia.org/property/currency']",[],0,0.0,[],0,0.0
Who gave the voice for Allen Walker ?,['http://dbpedia.org/resource/Allen_Walker'],['http://dbpedia.org/ontology/voice'],['http://dbpedia.org/resource/Allen_Walker'],1.0,1.0,[],0,0.0
Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus?,"['http://dbpedia.org/resource/Publius_Servilius_Vatia_Isauricus_(consul_48_BC)', 'http://dbpedia.org/resource/Marcus_Calpurnius_Bibulus']","['http://dbpedia.org/ontology/associate', 'http://dbpedia.org/ontology/associate']","['http://dbpedia.org/resource/Marcus_Calpurnius_Bibulus', 'http://aksw.org/notInWiki/PubliusServilius', 'http://aksw.org/notInWiki/VatiaIsauricus']",0.3333333333333333,0.5,['http://dbpedia.org/ontology/associate'],1.0,0.5
Which country has given citizenship to both saima chowdhury and edmund john?,"['http://dbpedia.org/resource/Saima_Chowdhury', 'http://dbpedia.org/resource/Edmund_John']","['http://dbpedia.org/ontology/citizenship', 'http://dbpedia.org/ontology/citizenship']",[],0,0.0,[],0,0.0
Who is the person that first ascented the Cathedral Peak and Mount Hoffmann?,"['http://dbpedia.org/resource/Cathedral_Peak_(California)', 'http://dbpedia.org/resource/Mount_Hoffmann']","['http://dbpedia.org/ontology/firstAscentPerson', 'http://dbpedia.org/ontology/firstAscentPerson']","['http://aksw.org/notInWiki/theCathedralPeak', 'http://dbpedia.org/resource/Mount_Hoffmann', 'http://dbpedia.org/resource/First_(Denise_Ho_album)']",0.3333333333333333,0.5,['http://dbpedia.org/ontology/firstAscentPerson'],1.0,0.5
What university campuses are situated in Indiana?,['http://dbpedia.org/resource/Indiana'],['http://dbpedia.org/ontology/campus'],['http://aksw.org/notInWiki/Indiana'],0.0,0.0,['http://dbpedia.org/ontology/place'],0.0,0.0
Where is the swedish covenant hospital?,['http://dbpedia.org/resource/Swedish_Covenant_Hospital'],['http://dbpedia.org/ontology/location'],[],0,0.0,[],0,0.0
Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee?,"['http://dbpedia.org/resource/Girl_from_the_North_Country', 'http://dbpedia.org/resource/Moondog_Matinee']","['http://dbpedia.org/ontology/composer', 'http://dbpedia.org/ontology/subsequentWork']","['http://aksw.org/notInWiki/theMoondogMatinee', 'http://aksw.org/notInWiki/theNorthCountry']",0.0,0.0,[],0,0.0
What is the television show whose vocals are performed by  April Stewart and Mona Marshall?,"['http://dbpedia.org/resource/April_Stewart', 'http://dbpedia.org/resource/Mona_Marshall']","['http://dbpedia.org/property/voices', 'http://dbpedia.org/property/voices']","['http://dbpedia.org/resource/Mona_Marshall', 'http://dbpedia.org/resource/April_Stewart']",1.0,1.0,['http://dbpedia.org/ontology/artist'],0.0,0.0
Name the members of  boards of Freedom of the City and Trinity House?,"['http://dbpedia.org/resource/Freedom_of_the_City', 'http://dbpedia.org/resource/Trinity_House']","['http://dbpedia.org/ontology/board', 'http://dbpedia.org/ontology/board']","['http://dbpedia.org/resource/Freedom_of_the_City', 'http://dbpedia.org/resource/Trinity_House']",1.0,1.0,[],0,0.0
Was Reza Amrollahi born in Iran?,"['http://dbpedia.org/resource/Reza_Amrollahi', 'http://dbpedia.org/resource/Iran']",['http://dbpedia.org/property/birthplace'],"['http://dbpedia.org/resource/Reza_Amrollahi', 'http://dbpedia.org/resource/Iran']",1.0,1.0,['http://dbpedia.org/ontology/birthPlace'],0.0,0.0
Which title of Zaman Shah Durrani is also the nationality of Salahuddin ?,"['http://dbpedia.org/resource/Zaman_Shah_Durrani', 'http://dbpedia.org/resource/Salahuddin_Rabbani']","['http://dbpedia.org/ontology/nationality', 'http://dbpedia.org/property/title']","['http://dbpedia.org/resource/Zaman_Shah_Durrani', 'http://aksw.org/notInWiki/Salahuddin']",0.5,0.5,[],0,0.0
In which war did Roh Tae Woo and Lee Leffingwell fight?,"['http://dbpedia.org/resource/Roh_Tae-woo', 'http://dbpedia.org/resource/Lee_Leffingwell']","['http://dbpedia.org/ontology/battle', 'http://dbpedia.org/ontology/battle']","['http://dbpedia.org/resource/Lee_Leffingwell', 'http://dbpedia.org/resource/Roh_Tae-woo']",1.0,1.0,['http://dbpedia.org/ontology/battle'],1.0,0.5
list  the producer of the movies in which Rosemarie DeWitt in the star cast?,['http://dbpedia.org/resource/Rosemarie_DeWitt'],"['http://dbpedia.org/property/starring', 'http://dbpedia.org/property/producer']",['http://dbpedia.org/resource/Rosemarie_DeWitt'],1.0,1.0,[],0,0.0
